PrimaryAuthor,PrimaryCountry,Author2,Author3,Author4,Author5,Author6,Author7,Author8,Author9,Author10,Author11,Author12,Author13,Year,PublicationTitle,PublicationType,TitleChapter,Class,FlashBehaviour,SpellingFlashBehaviour,CitationFlashBehaviour,BehaviourFlashBehaviour,MorphologyFlashBehaviour,FlashColour,SpellingFlashColour,CitationFlashColour,BehaviourFlashColour,MorphologyFlashColour,FlashColouration,SpellingFlashColouration,CitationFlashColouration,BehaviourFlashColouration,MorphologyFlashColouration,FlashDisplay,CitationFlashDisplay,BehaviourFlashDisplay,MorphologyFlashDisplay,FlashMark,CitationFlashMark,BehaviourFlashMark,MorphologyFlashMark,Other,OtherText,CitationOther,BehaviourOther,MorphologyOther,Definition,Definition1Text,CitationDefinition1,BehaviourMorphologyDefinition1,Definition2Text,CitationDefinition2,BehaviourMorphologyDefinition2,Description,Description1Text,CitationDescription1,BehaviourMorphologyDescription1,Description2Text,CitationDescription2,BehaviourMorphologyDescription2,,,,,,,,,,,,,,,,,,,
"Cardoso, M. W.",Brazil,"Pombal Jr., J. P.",,,,,,,,,,,,2010,Amphibia Reptilia,Journal,"A new species of small Scinax Wagler, 1830 (Amphibia, Anura, Hylidae) of the Scinax ruber clade from Cerrado of central Brazil",amphibians,0,,no,0,0,1,UK,no,0,1,0,,no,0,0,0,no,0,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Carlberg, U.",Sweden,,,,,,,,,,,,,1981,Zoologischer Anzeiger,Journal,Defensive behavior in females of the stick insect Sipyloides-Sipylus (Westwood) (Phasmida),invertebrates,0,,no,0,0,0,,no,0,0,1,US,no,1,0,1,no,1,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,yes,"When S. sipylus uses its display, the wings are exposed just before it walks, runs or flies. This together with the small but bright red spots on thorax can be regarded as a flash-coloration display.",no,b,The secondary defence is well developed. The pink wings and the red spots on thorax were readily used as flash display.,no,b,,,,,,,,,,,,,,,,,,,
"Caro, T.",USA,,,,,,,,,,,,,2005,Antipredator defenses in birds and mammals,Book,Antipredator defenses in birds and mammals,birds,0,,no,0,0,0,,no,0,0,1,US,no,1,0,0,no,0,0,1,no,0,1,0,no,no,0,0,yes,"conspiculously colored feathers that are normally hidden, are found in many taxa",no,t,"Some of these behaviors and morphological traits are assumed to startle the predator, causing it to halt its attack for an instant and thus buy extra time for escape (but see Jablonski 1999); others threaten the predator and perhaps stop it from attacking at all. It is difficult to distinguish between these possibilities because the difference hinges, in part, on whether the prey are capable of counterattack.",no,b,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Caro, T.",UK,"Koneru, M.",,,,,,,,,,,,2021,Biological Reviews,Journal,Towards an ecology of protective coloration,general,1,UK,no,1,0,0,,no,0,0,1,US,Edmunds 1974,1,0,0,no,0,0,1,Caro et al. 2020,0,1,0,no,no,0,0,yes,"""Sudden disappearance of colour combined with the equally sudden suspension of movement which tends to mislead the eye and to render the animal's exact whereabouts on alighting all the more difficult to detect.""",Cott 1940,b,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Caro, T.",USA,"Raees, H.","Stankowich, T.",,,,,,,,,,,2020,Behavioral Ecology and Sociobiology,Journal,Flash behavior in mammals?,mammals,1,US,no,1,0,0,,no,0,0,1,US,no,1,0,0,no,0,0,0,no,0,0,0,no,no,0,0,yes,"""Exhibiting a conspicuous part of the body while moving but hiding it when the animal becomes stationary is called flash behavior, and recent work shows that it confers an anti-predator advantage""","Loeffler-Henry et al. 2018, Bae et al. 2019",b,"deceive the predator into searching for the wrong cues associated with the prey’s appearance (flash behavior, sensu Edmunds 1974)",Edmunds 1974,b,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Caro, T.",USA,,,,,,,,,,,,,1995,Trends in Ecology & Evolution,Journal,Pursuit-deterrence revisited,various,0,,no,0,0,0,,no,0,0,1,UK,Cott 1940,1,0,0,no,0,0,0,no,0,0,0,no,no,0,0,yes,"""This flash colouration hypothesis, documented in insects such as Othoptera and Lepidoptera during escape, suggests that a sudden disappearance of a bright colour patch might deceive a predator that the prey has vanished.""",Cott 1940,b,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Carvalho, A. L. G.",USA,"Rivas, L. R.","Cespedes, R.","Rodrigues, M. T.",,,,,,,,,,2018,American Museum Novitates,Journal,A new collared lizard (Tropidurus: Tropiduridae) endemic to the Western Bolivian Andes and its implications for seasonally dry tropical forests,reptiles,0,,no,0,0,0,,no,0,0,0,,no,0,0,0,no,0,0,1,no,0,1,0,no,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Catullo, R. A. ",Australia,"Doughty, P. ","Keogh, J. S.",,,,,,,,,,,2014,Zootaxa,Journal,"A new frog species (Myobatrachidae: Uperoleia) from the Northern Deserts region of Australia, with a redescription of U. trachyderma",amphibians,0,,no,0,0,0,,no,0,0,1,US,no,0,1,0,no,0,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Catullo, R. A. ",Australia,"Doughty, P. ","Roberts, J. D. ","Keogh, J. S.",,,,,,,,,,2011,Zootaxa,Journal,"Multi-locus phylogeny and taxonomic revision of Uperoleia toadlets (Anura: Myobatrachidae) from the western arid zone of Australia, with a description of a new species",amphibians,0,,no,0,0,0,,no,0,0,1,US,no,0,1,0,no,0,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Chaparro, J.C.",Peru,"Motta, A. P.","Gutierrez, R. C.","Padial, J. M.",,,,,,,,,,2012,Zootaxa,Journal,A new species of Pristimantis (Anura: Strabomantidae) from Andean cloud forests of northern Peru,amphibians,0,,no,0,0,1,UK,no,0,1,0,,no,0,0,0,no,0,0,1,no,0,1,0,no,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Clark, E. J. ",UK,,,,,,,,,,,,,1943,The Entomologist’s Monthly Magazine,Periodical,Colour variation in British Acrididae (Orthopt.),invertebrates,0,,no,0,0,1,UK,no,1,0,0,,no,0,0,0,no,0,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,yes,"For instance, probably many details of genetical interest have been omitted, and only one aspect of adaptive coloration has been considered, namely procryptic effects at rest ; another obvious aspect is that of flash-colour in flight, covering the bright under-wing colour of Oedipodinae and possibly the bright red colour of the tip of the abdomen or the hind tibiae",no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Clark, J. T.",UK,,,,,,,,,,,,,1978,Stick and Leaf Insects,Book,Defensive mechanisms,invertebrates,0,,no,0,0,0,,no,0,0,1,US,no,1,0,0,no,0,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,yes,"This is a sudden display of vivid colours, made by opening the wings",no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Cloudsley-Thompson, J. L.",UK,,,,,,,,,,,,,1996,Biotic Interactions in arid lands,Book,Secondary anti-predator devices,general,0,,no,0,0,0,,no,0,0,1,US,"Cott 1940, Edmunds 1974",0,1,0,no,0,0,0,no,0,0,0,no,no,0,0,yes,"A third technique is for the prey to flee a short distance, often displaying flash coloration, and then to rest, motionless and cryptic, so that it cannot be observed",Edmunds 1974,t,no,no,no,yes,"Although all visible portions of the resting animals are obliteratedby the cryptic coloration which covers their exposed surfaces, an advertising colour scheme is disposed on parts of the body that are normally concealed. This becomes immediately conspicuous when the animals move, revealing a brilliant flash of scarlet, yellow or blue. ",no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Coffin-Grey, T. W.",Zimbabwe,"Donnelly, T.","Pinhey, E. C. G.",,,,,,,,,,,1967,Curator: The Museum Journal,Journal,"The Chirinda Forest Insect Habitat Group, National Museum, Bulawayo",invertebrates,0,,no,0,0,1,US,no,1,0,0,,no,0,0,0,no,0,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Conrow, R. T.",USA,"Gelhaus, J. K.",,,,,,,,,,,,2022,Zookeys,Journal,"Wing interference patterns are consistent and sexually dimorphic in the four families of crane flies (Diptera, Tipuloidea)",invertebrates,0,,no,0,0,0,,no,0,0,0,,no,0,0,0,no,0,0,0,no,0,0,1,dynamic flash coloration,Murali 2018,1,0,no,no,no,no,no,no,no,yes,"Using a pinned museum specimen, we have demonstrated how quickly the WIP transmission can change with a change in background color (see Suppl. material 1: Movie S1). Given this, it is possible that crane flies are using WIP as a type of dynamic flash coloration (Murali 2018) to avoid predation.",Murali 2018,b,"Additionally, erratic flight patterns have been found to increase the effectiveness of dynamic flash coloration to avoid predation (Murali and Kodandaramaiah 2020) and Pritchard (1983) notes both the wing pattern and the flight pattern of crane flies act to obfuscate the flies from predators.",(Murali and Kodandaramaiah 2020) and Pritchard (1983),t,,,,,,,,,,,,,,,,,,,
"Cooper, W. E. Jr.",USA,,,,,,,,,,,,,2001,Ethology,Journal,Multiple roles of tail display by the curly-tailed lizard Leiocephalus carinatus: Pursuit deterrent and deflective roles of a social signal,reptiles,0,,no,0,0,0,,no,0,0,0,,no,0,0,0,no,0,0,0,no,0,0,1,flash concealment,no,1,0,yes,(1) Colors of displayed tail and body contrast. (2) Display ceases when locomotion stops,no,t,no,no,no,yes,"The flash concealment hypothesis also is untenable for L. carinatus, as the display lacks the bright, contrasting color needed to produce a flash and the behavioral features needed for flash concealment: the display is not terminated immediately after the lizards stop running, is often performed while lizards are immobile, and is terminated slowly.",no,b,"If flash concealment is a function, tail coloration during the display should contrast strongly with background colors and the display should terminate abruptly as soon as a lizard stops moving.",no, b,,,,,,,,,,,,,,,,,,,
"Cooper, W. E. Jr.",USA,"Vitt, L. J.",,,,,,,,,,,,1991,Canadian Journal of Zoology,Journal,Influence of detectability and ability to escape on natural selection of conspicuous autotomous defenses,reptiles,0,,no,0,0,0,,no,0,0,1,US,Cott 1940,1,0,0,no,0,0,0,no,0,0,0,no,no,0,0,yes,"Flash coloration is of particular interest. Although conspicuous during emission, it allows the prey to remain inconspicuous at other times (Cott 1940)",Cott 1940,b,"several other defense mechanisms, including flash coloration, deimatic (= frightening or startling) behavior, retaliation, deflective behavior, thanatosis, and flight after detection, do not affect detectability and operate only after detection.",no,b,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Cott, H. B.",UK,,,,,,,,,,,,,1940,Adaptive Coloration in Animals,Book Chapter,Characters which misdirect the attack of enemies by misrepresenting the whereabouts of their prey,various,0,,no,0,0,1,UK,no,0,1,1,US,no,0,1,0,no,0,0,0,no,0,0,0,no,no,0,0,yes,"""In another interesting class of cases all the visible parts of the resting animal are obliterated by a cryptic colour-scheme which clothes the exposed surfaces. But there is also present an advertising colour-scheme, disposed on parts of the body, which are normally concealed, but which momentarily flash into conspicuousness when the animal moves, revealing a brilliant badge of scarlet, vermilion, orange, yellow, or blue.""",no,t,"""It is the sudden disappearance of colour combined with the equally sudden suspension of movement which tends to mislead the eye and to render the animal's exact whereabouts on alighting all the more difficult to detect.""",no,b,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Crawford, S. A.",USA,,,,,,,,,,,,,1997,Thesis,Thesis,"The behavior of a desert wash dweller, the zebra-tailed lizard, Callisaurus draconoides",reptiles,0,,no,0,0,0,,no,0,0,0,,no,0,0,0,no,0,0,1,no,0,1,0,no,no,0,0,no,no,no,no,no,no,no,yes,They evade predation by outrunning predators or using their tail as a flash mark to scare them off.,"Dial, 1986",b,no,no,no,,,,,,,,,,,,,,,,,,,
"Cruz, C. A. G.",Brazil,"Nunes, I.","de Lima, M. G.",,,,,,,,,,,2011,Zootaxa,Journal,"A new Scinax Wagler belonging to the S. catharinae clade (Anura: Hylidae) from the State of Alagoas, northeastern Brazil",amphibians,0,,no,0,0,1,US,no,0,1,0,,no,0,0,0,no,0,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Curlis, J. D. ",USA,,,,,,,,,,,,,2017,Thesis,Thesis,Evolutionary Linkage of Mimetic and Non-Mimetic Color Traits in a Coral Snake Mimicry Complex,reptiles,0,,no,0,0,0,,no,0,0,1,US,Schlenoff 1985; Williams et al. 2000,1,0,0,no,0,0,0,no,0,0,0,no,no,0,0,yes,"Other prey species utilize startle coloration or flash coloration (also called deimatic coloration), in which they flash a bright color, eye spots, etc. at a predator and then remove it from sight, thereby effectively intimidating or confusing the predator (Schlenoff 1985; Williams et al. 2000)",Schlenoff 1985; Williams et al. 2000,b,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Daly, J. W.",USA,"Andriamaharavo, N. R.","Andriantsiferana, M.","Myers, C. W.",,,,,,,,,,1996,Animal Behaviour,Journal,Madagascan poison frogs (Mantella) and their skin alkaloids,amphibians,0,,no,0,0,0,,no,0,0,0,,no,0,0,0,no,0,0,1,no,0,1,1,flash markings,no,0,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Davies, R. G.",UK,,,,,,,,,,,,,1988,Outlines of Entomology,Book Chapter,Protective coloration and mimcry,invertebrates,0,,no,0,0,0,,no,0,0,1,US,no,0,1,0,no,0,0,0,no,0,0,0,no,no,0,0,yes,"Insects which are cryptically coloured while resting sometimes also display warning colours when they move quickly, and so are thought to alarm, confuse or divert predators.  ",no,b,no,no,no,yes,"Areas of bright colour (‘flash coloration’) may be revealed suddenly, as in the Yellow Underwing moth Noctua pronuba, whose yellow-banded hind wings are concealed at rest, or the grasshopper Oedipoda caerulescens, whose blue and black barred hind wings are hidden at rest by the cryptically^ coloured fore wings, but are displayed when it takes to flight.",no,t,no,no,no,,,,,,,,,,,,,,,,,,,
"Davis, D.D.",USA,,,,,,,,,,,,,1948,Copeia,Journal,Flash display of aposematic colors in Farancia and other snakes.,reptiles,0,,no,0,0,0,,no,0,0,0,,no,0,0,1,"Cott 1940, Mertens 1931",1,0,0,no,0,0,1,flash exhibition,no,1,0,yes,"The sudden exhibition of bright colors that are ordinarily hidden from view is a widespread reaction of animals when annoyed or molested. The literature on this subject was recently reviewed by Cott (1940) as a subdivision of his chapter on ""The Methods by which Conspicuousness is Attained"" in animals",Cott 1940,b,"""Three features characterize flash display of aposematic colors in snakes. (1) The color displayed differs from colors appearing elsewhere on the body. (2) In every recorded instance the displayed color was some shade of red. (3) The snake assumes a posture that is never employed under any other circumstances. In Farancia the posture is so extreme that escape from a predator by flight is precluded.""",no,t,yes,"Thus Farancia is a good example of an animal that is conspicuously colored on parts that are normally concealed, and protectively colored elsewhere",no,t,no,no,no,,,,,,,,,,,,,,,,,,,
"de Solla, S. R.",Canada,"Portelli, M.","Spiro, H.","Brooks, R. J.",,,,,,,,,,2001,Chelonian Observation and Biology,Journal,Penis displays of snapping turtles (Chelydra serpentia) in response to handling: defensive or displacement behavior?,reptiles,0,,no,0,0,0,,no,0,0,0,,no,0,0,1,no,1,0,0,no,0,0,0,no,no,0,0,yes,"it is a ""flash display"" which is used to startle potential predators, allowing the animal to escape",no,b,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Dennis, R. L. H.",UK,"Shreeve, T.G.",,,,,,,,,,,,1989,Herpetologica,Journal,"Butterfly wing morphology variation in the British Isles: the influence of climate, behavioural posture and the hostplant-habitat",invertebrates,0,,no,0,0,0,,no,0,0,1,UK,no,0,1,0,no,0,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,yes,"On the other hand, secondary defences on the dorsal surfaces and ventral forewing, hidden when the individual is completely inactive, may be enhanced as a result of selection for signals which induce a larger shock in predators, Dennis, 1977; Thomson, 1973, 1980increasing evasion time for active insects close to the temperature threshold for activity (e.g. fulvous development and apical ocellus bipupillation in Maniola jurlina and Hipparchia semele; Dennis, 1977; Thomson, 1973, 1980).","Dennis, 1977; Thomson, 1973, 1980",t,no,no,no,,,,,,,,,,,,,,,,,,,
"Despland, E. ",USA,,,,,,,,,,,,,2020,PLOS One,Journal,Ontogenetic shift from aposematism and gregariousness to crypsis in a Romaleid grasshopper,invertebrates,0,,no,0,0,0,,no,0,0,1,UK,no,0,1,0,no,0,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,yes,"What limited evidence exists on romaleid ontogeny suggests that, among species with aposematic nymphs, some retain warning colouration as adults (e.g. T. eques, R. microptera) whereas others (e.g. Chromacris species) exhibit an unusual ontogenetic shift, switching to crypsis with flash-colouration as adults: the body iscryptic, but in flight the colourful hindwings appear [23,28–33]",no,t,Adults also display flash colouration: the bright orange hind wings appear when they fly away in response to disturbance [33],no,b,,,,,,,,,,,,,,,,,,,
"Dickerson, M. C.",USA,,,,,,,,,,,,,1906,"The Frog Book; North American Toads and Frogs, with a study of the habits and life histories of those of the northeastern states",Book,"The frog book; North American toads and frogs, with a study of the habits and life histories of those of the northeastern states.",amphibians,0,,no,0,0,1,UK,Gadow 1901,0,1,0,,no,0,0,0,no,0,0,0,no,0,0,0,no,no,0,0,yes,"They may act as recognition marks for others of the same species, or may serve to startle the enemy and warn of the more or less poisonous character of the possessor.",no,b,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Dorcas, M. E.",USA,"Dorcas, M.",Gibbons. W.,,,,,,,,,,,2011,Frogs: The animal answer guide,Book,Frog colors,amphibians,0,,no,0,0,0,,no,0,0,1,US,no,0,1,0,no,0,0,0,no,0,0,0,no,no,0,0,yes,bright colors or patterns that are hidden when the animal is at rest but are visible when the animal moves,no,t,no,no,no,yes,"It is thought that the sudden appearance of this brightcolor made visible to a predator by the frog's movement will startle the predator, thus providing time for the frog to escape. Also, the predator may continue searching for the frog but is looking for bright yellow instead of the now camouflaged treefrog as it sits on the tree trunk.",no,b,no,no,no,,,,,,,,,,,,,,,,,,,
"Doughty, P.",Australia,"Roberts, J. D. ",,,,,,,,,,,,2008,Zootaxa,Journal,"A new species of Uperoleia (Anura: Myobatrachidae) from the northwest Kimberley, Western Australia",amphibians,0,,no,0,0,0,,no,0,0,1,UK,no,1,0,0,no,0,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,yes,There is usually a red or orange femoral and tibial patch that may function as ‘flash’ colouration when the legs are extended.,no,b,no,no,no,,,,,,,,,,,,,,,,,,,
"Downs, T. ",USA,,,,,,,,,,,,,1946,Transactions of the Kansas Academy of Science,Journal,Birds on Tinian in the Marianas,birds,0,,no,0,0,1,US,no,0,1,0,,no,0,0,0,no,0,0,0,no,0,0,1,flashing,no,1,0,no,no,no,no,no,no,no,yes,"There were streaks of yellow and brown on the breast and belly, and a very distinctive characteristic always noticeable when this bird was in flight, was the dark blue-gray ""flash"" color of the outer wing tips or primaries.",no,t,The white bar on each side of the tail and flanks was much more prominent than before and they seemed to be flashing the white in a strut,no,b,,,,,,,,,,,,,,,,,,,
"Drummond, L. O.",Brazil,"Baeta, D. ","Pires, M. R. S.",,,,,,,,,,,2007,Zootaxa,Journal,"A new species of Scinax (Anura, Hylidae) of the S. ruber clade from Minas Gerais, Brazil",amphibians,0,,no,0,0,1,US,no,0,1,0,,no,0,0,0,no,0,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Dunn, E. R.",USA,,,,,,,,,,,,,1941,Copeia,Journal,Notes on Dendrobates auratus,amphibians,0,,no,0,0,0,,no,0,0,1,US,no,0,1,0,no,0,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,yes,"Incidentally, Smith, in connection with this frog, makes the first suggestion that brilliant color, occasionally displayed, may serve to confuse and conceal [""flash coloration""]",no,b,no,no,no,,,,,,,,,,,,,,,,,,,
"Dwyer, C. M.",Germany,,,,,,,,,,,,,1995,Amphibia Reptilia,Journal,A new species of Eleutherodactylus from Peru (Anura: Leptodactylidae),amphibians,0,,no,0,0,1,US,no,0,1,0,,no,0,0,0,no,0,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Dyugmedzhiev, A.",Bulgaria,,,,,,,,,,,,,2021,Herpetological Bulletin,Journal,Tail vibration – A newly described defensive behaviour of the Aesculapian snake Zamenis longissimus,reptiles,0,,no,0,0,0,,no,0,0,0,,no,0,0,1,no,1,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,no,"""Additionally, the tail display may serve as a flash display, which disorients the predator, allowing the snake to escape (Robinson, 1969; Greene, 1973).""","Robinson, 1969, Greene, 1973",b,no,no,no,,,,,,,,,,,,,,,,,,,
"Edmunds, M.",UK,,,,,,,,,,,,,1974,Defence in Animals: A Survey of Anti-predator defences,Book,Flash Behaviour,general,1,UK,no,1,0,1,UK,no,0,1,0,,no,0,0,0,no,0,0,0,no,0,0,0,no,no,0,0,yes,Whole chapter,no,,"""Flight may be accompanied by exposure of bright colours (flash behaviour) which are hidden when the animal comes to rest. It is believed that predators may be induced to follow this bright colour instead of including other features of the prey in their search image, and so when the bright colour vanishes the predator gives up the search.""",no,b,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Edmunds, M.",Ghana,,,,,,,,,,,,,1972,Zoological Journal of the Linnean Society,Journal,Defensive behaviour in Ghanaian praying mantids,invertebrates,0,,no,0,0,1,UK,no,0,1,1,UK,no,1,0,0,no,0,0,0,no,0,0,0,no,no,0,0,yes,Possibly this acts as a flash colouration since it vanishes when the insect alights after flying,no,t,"""When the wings close these colours vanish, so it is possible that the function of the display in the female is a deceptive flash rather than to startle the predator.""",no,t,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Edmunds, M.",Ghana,,,,,,,,,,,,,1976,Zoological Journal of the Linnean Society,Journal,The defensive behaviour of Ghanaian praying mantids with a discussion of territoriality,invertebrates,0,,no,0,0,1,UK,no,0,1,0,,no,0,0,0,no,0,0,0,no,0,0,1,"flash, flash effect",no,1,0,yes,"Secondary defence. When poked the female ran or hopped, just as did the male, but since she is apterous, she cannot fly. The foreleg femora are black on the inner surface, and the ventral surface of the thorax is crimson, suggesting that these colours may possibly have significance in some display, but no display was ever seen. They are unlikely to be flash colours since they are not easily visible when the mantis moves.",no,t,"In female Danuria, however, the insect is so elongated and comparatively feeble in appearance that raising the wings does not increase its apparent size to any marked extent. In this case, the display simply involves sudden exposure of bright colours which then vanish quickly so that the display is more in the nature of a flash. Although I have not been able to examine a healthy Leptocola, its wing pattern is such that I consider it probable that it too has a startle display involving sudden opening and closing of the wings. Obviously the importance of such a startle display involving a quick flash of colour or of eyespots can only succeed if the insect then becomes cryptic again, and this sort of display only occurs in species with elaborate primary defence.",no,b,,,,,,,,,,,,,,,,,,,,,,,,,,
"Edmunds, M.",UK,"Brunner, D.",,,,,,,,,,,,1999,The Praying Mantids,Book Chapter,Ethology of defenses against predators,invertebrates,0,,no,0,0,1,US,no,0,1,1,US,no,0,1,0,no,0,0,0,no,0,0,0,no,no,0,0,yes,"Flash colors are exposed when an animal runs or flies but are hidden when it is at rest. It is thought that predators follow the bright colours and when they disappear, the predator loses sight of its prey","Cott 1940, Edmunds 1974",t,no,no,no,yes,"mantids ""running"" while showing coloured underwing as opposed to other species that don't move while displaying",b,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Edmunds, M.",UK,,,,,,,,,,,,,2008,Encyclopedia of Entomology,Book,Flash Colors,various,1,US,no,1,0,1,US,no,0,1,0,,no,0,0,0,no,0,0,0,no,0,0,0,no,no,0,0,yes,Flash colors are colors that are exposed when an animal moves but are hidden when it is at rest,"Cott 1940, Edmunds 1974",t,"Many grasshoppers stridulate as they jump or fly and then remain silent on landing. It is possible that predators follow the noise and are then baffled when the noise ceases and there is no sign of the insect. If this is indeed the function of stridulation in a flying grasshopper then, by analogy with flash coloration, it could be called flash behavior.","Cott 1940, Edmunds 1974",b,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Eisner, T.",USA,"Adams, P. A.",,,,,,,,,,,,1975,Psyche,Journal,Startle Behavior in an Ascalaphid (Neuroptera),invertebrates,0,,no,0,0,0,,no,0,0,0,,no,0,0,0,no,0,0,0,no,0,0,1,flashing behavior,no,1,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Emberts, Z.",USA,"Miller, C. W.","Skojec, C.","Shepherd, R.","St Mary, C. M.",,,,,,,,,2020,Ecology and Evolution,Journal,"Leaf-footed bugs possess multiple hidden contrasting color signals, but only one is associated with increased body size",invertebrates,0,,no,0,0,0,,no,0,0,0,,no,0,0,1,Edmunds 2008,1,0,0,no,0,0,0,no,no,0,0,yes,"""A flash display is the use of otherwise concealed contrasting color signals while in motion (Edmunds, 2008). This defense may be effective in evading predation by confusing the predator of its location, making it difficult to estimate its future trajectory (Loeffler-Henry, Kang, Yip, Caro, & Sherratt, 2018; Murali, 2018). It is hypothesized that flash displays may also function to frighten or surprise predators, causing them to abandon or be unsuccessful in their pursuit (Murali, 2018). These displays can be seen in the colorful underwings of a variety of moths, namely sphingid and noctuid moths, as well as the hindwings of some orthopterans, mantids, and cicadas (Loeffler_Henry, Kang, & Sherratt, 2019). """,no,b,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Evans, D. L.",USA,,,,,,,,,,,,,1983,Entomologia experimentais et applica,Journal,Relative defensive behavior of some moths and the implications to predator‐prey interactions,invertebrates,0,,no,0,0,0,,no,0,0,0,,no,0,0,1,no,1,0,0,no,0,0,0,no,no,0,0,yes,I define displaying as the sudden exposing of the portions of the body which contrast with the appearance of the moth at rest. The surprise flash display with immediate flight typical of the Catocaline is lumped with flight here.,no,b,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Faivovich, J.",Argentina,"Ferraro, D. P.","Basso, N. G. ","Haddad, C. F. B.","Rodrigues, M. T.","Wheeler, W. C.","Lavilla, E. O.",,,,,,,2012,Cladistics,Journal,"A phylogenetic analysis of Pleurodema (Anura: Leptodactylidae: Leiuperinae) based on mitochondrial and nuclear gene sequences, with comments on the evolution of anuran foam nests",amphibians,0,,no,0,0,0,,no,0,0,1,US,no,0,1,0,no,0,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Faivovich, J.",USA,,,,,,,,,,,,,2005,Herpetologica,Journal,"A New Species of Scinax (Anura: Hylidae) from Misiones, Argentina",amphibians,0,,no,0,0,1,US,no,0,1,0,,no,0,0,0,no,0,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Farkas, T.",South Africa,,,,,,,,,,,,,1984,Proceedings of the fifth pan African ornithological congress,Conference papers,"Taxonomic features common to Mimidae, Erythropygia and some other genera",invertebrates,0,,no,0,0,0,,no,0,0,0,,no,0,0,0,no,0,0,0,no,0,0,1,wing-flashing/flashing,no,1,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Ferns, P. N.",UK,,,,,,,,,,,,,2003,Wader Study Group Bulletin,Journal,Plumage colour and pattern in waders,birds,0,,no,0,0,0,,no,0,0,1,US,no,0,1,0,no,0,0,1,no,0,1,0,no,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
