PrimaryAuthor,PrimaryCountry,Author2,Author3,Author4,Author5,Author6,Author7,Author8,Author9,Author10,Author11,Author12,Author13,Year,PublicationTitle,PublicationType,TitleChapter,Class,FlashBehaviour,SpellingFlashBehaviour,CitationFlashBehaviour,BehaviourFlashBehaviour,MorphologyFlashBehaviour,FlashColour,SpellingFlashColour,CitationFlashColour,BehaviourFlashColour,MorphologyFlashColour,FlashColouration,SpellingFlashColouration,CitationFlashColouration,BehaviourFlashColouration,MorphologyFlashColouration,FlashDisplay,CitationFlashDisplay,BehaviourFlashDisplay,MorphologyFlashDisplay,FlashMark,CitationFlashMark,BehaviourFlashMark,MorphologyFlashMark,Other,OtherText,CitationOther,BehaviourOther,MorphologyOther,Definition,Definition1Text,CitationDefinition1,BehaviourMorphologyDefinition1,Definition2Text,CitationDefinition2,BehaviourMorphologyDefinition2,Description,Description1Text,CitationDescription1,BehaviourMorphologyDescription1,Description2Text,CitationDescription2,BehaviourMorphologyDescription2,,,,,,,,,,,,,,,,,,,
"Batkhuyag, B.",Mongolia,"Batnaran, K.","Dorjderem, S.",,,,,,,,,,,2014,Journal of Orthoptera Research,Journal,A new species of Mongolotmethis from the Gobi region of Mongolia (Orthoptera: Pamphagidae),invertebrates,0,,no,0,0,0,,no,0,0,0,,no,0,0,0,no,0,0,0,no,0,0,1,flash coloring,no,0,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Beauchamp, G.",Canada,"Heeb, P.",,,,,,,,,,,,2001,Evolutionary Ecology Research,Journal,Social foraging and the evolution of white plumage,birds,0,,no,0,0,0,,no,0,0,0,,no,0,0,0,no,0,0,1,no,0,1,0,no,no,0,0,yes,"""We definied flash marks as conspicuous dorsal white stripes or patches on the wings, lower back, rump or tail""","Brooke, M. de L. 1998",t,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Beecher, W. J.",USA,,,,,,,,,,,,,1950,The Wilson Bulletin,Journal,Convergent Evolution in the American Orioles,birds,0,,no,0,0,0,,no,0,0,0,,no,0,0,0,no,0,0,0,no,0,0,1,flash marking,no,0,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Beecher, W. J.",USA,,,,,,,,,,,,,1951,The Auk,Journal,Adaptations for food-getting in the American blackbirds,birds,0,,no,0,0,1,US,no,0,1,1,US,Beecher 1950,0,1,0,no,0,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Bidau, C. J.",Argentina,,,,,,,,,,,,,2014,Journal of Insect Biodiversity,Journal,Patterns in Orthoptera biodiversity. I. Adaptations in ecological and evolutionary contexts,invertebrates,0,,no,0,0,0,,no,0,0,1,"US, UK","Capinera, 2010; Mathews & Mathews, 2010",1,1,0,no,0,0,0,no,0,0,0,no,no,0,0,yes,"Flight and startle behaviour: a startle stereotyped response in which, when discovered, insects usually rise their spinylegs and, in winged forms, open their tegmina and wings, showing flash coloration, appendage extension and other means","Capinera, 2010; Mathews & Mathews, 2010",t,no,no,no,yes,"Flash colouration in reverse also occurs in some cryptic grasshoppers [e. g., lubber grasshoppers (Romaleidae) and band-winged grasshoppers (Acrididae, Oedipodinae)] which while on flight display colourful wings but when they settle their exterior matches the ground colour",Mathews & Mathews 2010,b,no,no,no,,,,,,,,,,,,,,,,,,,
"Bildstein, K. L.",USA,,,,,,,,,,,,,1982,The American Naturalist,Journal,Why white-tailed deer flag their tails,mammals,1,US,Edmunds 1974,1,0,0,,no,0,0,0,,no,0,0,0,no,0,0,0,no,0,0,0,no,no,0,0,yes,"(1) Flash behavior (Edmunds 1974).-Tail flagging first startles the predator, causing it to hesitate momentarily, and then calls attention to the exposed white rump and tail, whose sudden disappearance when the deer halts and drops its tail causes the predator to lose sight of the dee",Edmunds 1974,b,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Blank, D. A.",Kyrgyzstan,,,,,,,,,,,,,2018,Behavioural Processes,Journal,The use of tail-flagging and white rump-patch in alarm behavior of goitered gazelles,mammals,1,US,Edmunds 1974,1,0,0,,no,0,0,0,,no,0,0,0,no,0,0,0,no,0,0,0,no,no,0,0,yes,"And the fourth hypothesis suggests that apart from an alarming signal to conspecific, the presentation of the white rump-patch could be used as a predator pursuit- deterrent signal",Stankowich 2008,b,no,no,no,yes,"Relatively short tails do not just flick or wag repeatedly from side to side during different behaviors (foraging, walking, alarm), they are also used to make the rump-patch more visible when held vertically and conceal the rump-patch when relaxed and held down (Guthrie, 1971). Using the white rump-patch as an alarm signal originated apparently from acts of urination-defecation and piloerection, which are automatic, physiological (emotional) responses of ungulates to stressful situations (Alvarez et al., 1976)","Guthrie 1971, Alvarez et al. 1976",b,no,no,no,,,,,,,,,,,,,,,,,,,
"Blaustein, A. R.",USA,"Beatty, J. J.","Storm, R. M.",,,,,,,,,,,1995,The biology of amphibians and reptiles in the old-growth forests in the Paceific Northwest,Book,California Slender Salamander (Batrachoseps attenuatus) Description,amphibians,0,,no,0,0,0,,no,0,0,0,,no,0,0,1,Brodie 1974,1,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,yes,Brodie and others (1974) reported that the flash display can propel a salamander along the ground and described an individual flipping 60 cm away and then freezing in an uncoiled position. Such rapid movement could confuse a predator.,Brodie 1974,b,"Brodie and others (1974) considered coiling ""immobility"" and the coiling and uncoiling a ""flash display."" Immobility could reduce the likelihood or intensity of predator attack,",Brodie 1974,no,,,,,,,,,,,,,,,,,,,
"Blum, M.",USA,,,,,,,,,,,,,1981,Chemical Defences of Arthropods,Book,The Many Faces of Defensive Secretions,invertebrates,0,,no,0,0,0,,no,0,0,1,US,no,0,1,0,no,0,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,yes,The simultaneous production of the froth and an audible sound greatly enhances the aposematism of R. microptera—yellow and black with red wings which are suddenly revealed as flash coloration when the dark elytra are elevated by a disturbed grasshopper,no,t,"In all cases, these orthopterans are both brilliantly aposematic and relatively sluggish and are capable of exhibiting flash coloration when disturbed by exposing their brightly colored wings.",no,t,,,,,,,,,,,,,,,,,,,
"Boardman, M.",UK,"Askew, R. R.","Cook, L.M.",,,,,,,,,,,1974,Journal of Zoology,Journal,Experiments on resting site selection by nocturnal moths,invertebrates,0,,no,0,0,0,,no,0,0,1,UK,no,0,1,0,no,0,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,yes,The “flash colouration” on the hindwings of N.pronuba is an obvious additional line of defence,no,t,no,no,no,,,,,,,,,,,,,,,,,,,
